"PHT00S22.SPC"
WL/nm,Abs
900.0,0.754
899.5,0.755
899.0,0.755
898.5,0.756
898.0,0.756
897.5,0.757
897.0,0.758
896.5,0.758
896.0,0.759
895.5,0.760
895.0,0.760
894.5,0.761
894.0,0.761
893.5,0.762
893.0,0.763
892.5,0.763
892.0,0.763
891.5,0.764
891.0,0.764
890.5,0.765
890.0,0.765
889.5,0.766
889.0,0.766
888.5,0.767
888.0,0.767
887.5,0.768
887.0,0.769
886.5,0.771
886.0,0.771
885.5,0.773
885.0,0.774
884.5,0.775
884.0,0.775
883.5,0.776
883.0,0.777
882.5,0.778
882.0,0.779
881.5,0.780
881.0,0.781
880.5,0.782
880.0,0.783
879.5,0.784
879.0,0.785
878.5,0.785
878.0,0.786
877.5,0.787
877.0,0.788
876.5,0.788
876.0,0.789
875.5,0.789
875.0,0.790
874.5,0.790
874.0,0.791
873.5,0.791
873.0,0.792
872.5,0.792
872.0,0.793
871.5,0.793
871.0,0.793
870.5,0.794
870.0,0.794
869.5,0.794
869.0,0.795
868.5,0.795
868.0,0.795
867.5,0.796
867.0,0.796
866.5,0.797
866.0,0.797
865.5,0.798
865.0,0.798
864.5,0.799
864.0,0.799
863.5,0.800
863.0,0.800
862.5,0.801
862.0,0.801
861.5,0.802
861.0,0.803
860.5,0.803
860.0,0.804
859.5,0.805
859.0,0.805
858.5,0.806
858.0,0.807
857.5,0.807
857.0,0.808
856.5,0.808
856.0,0.809
855.5,0.810
855.0,0.810
854.5,0.811
854.0,0.812
853.5,0.812
853.0,0.813
852.5,0.814
852.0,0.814
851.5,0.815
851.0,0.816
850.5,0.817
850.0,0.817
849.5,0.818
849.0,0.819
848.5,0.819
848.0,0.820
847.5,0.821
847.0,0.821
846.5,0.822
846.0,0.823
845.5,0.824
845.0,0.824
844.5,0.825
844.0,0.826
843.5,0.827
843.0,0.827
842.5,0.828
842.0,0.829
841.5,0.830
841.0,0.830
840.5,0.831
840.0,0.832
839.5,0.833
839.0,0.833
838.5,0.834
838.0,0.835
837.5,0.835
837.0,0.836
836.5,0.837
836.0,0.838
835.5,0.838
835.0,0.839
834.5,0.840
834.0,0.841
833.5,0.841
833.0,0.842
832.5,0.843
832.0,0.843
831.5,0.844
831.0,0.845
830.5,0.845
830.0,0.846
829.5,0.846
829.0,0.847
828.5,0.848
828.0,0.848
827.5,0.849
827.0,0.850
826.5,0.850
826.0,0.851
825.5,0.852
825.0,0.852
824.5,0.853
824.0,0.854
823.5,0.854
823.0,0.855
822.5,0.856
822.0,0.857
821.5,0.858
821.0,0.859
820.5,0.859
820.0,0.860
819.5,0.861
819.0,0.862
818.5,0.863
818.0,0.863
817.5,0.864
817.0,0.865
816.5,0.866
816.0,0.867
815.5,0.868
815.0,0.869
814.5,0.870
814.0,0.871
813.5,0.872
813.0,0.873
812.5,0.874
812.0,0.875
811.5,0.876
811.0,0.877
810.5,0.877
810.0,0.879
809.5,0.880
809.0,0.881
808.5,0.882
808.0,0.882
807.5,0.883
807.0,0.885
806.5,0.886
806.0,0.887
805.5,0.887
805.0,0.888
804.5,0.889
804.0,0.890
803.5,0.891
803.0,0.892
802.5,0.893
802.0,0.894
801.5,0.895
801.0,0.896
800.5,0.898
800.0,0.899
799.5,0.900
799.0,0.901
798.5,0.902
798.0,0.903
797.5,0.904
797.0,0.905
796.5,0.906
796.0,0.907
795.5,0.908
795.0,0.909
794.5,0.910
794.0,0.911
793.5,0.912
793.0,0.914
792.5,0.914
792.0,0.916
791.5,0.917
791.0,0.918
790.5,0.919
790.0,0.920
789.5,0.921
789.0,0.922
788.5,0.923
788.0,0.924
787.5,0.926
787.0,0.927
786.5,0.928
786.0,0.929
785.5,0.930
785.0,0.931
784.5,0.932
784.0,0.933
783.5,0.935
783.0,0.936
782.5,0.937
782.0,0.938
781.5,0.939
781.0,0.941
780.5,0.942
780.0,0.943
779.5,0.944
779.0,0.945
778.5,0.946
778.0,0.948
777.5,0.949
777.0,0.950
776.5,0.951
776.0,0.952
775.5,0.953
775.0,0.954
774.5,0.956
774.0,0.957
773.5,0.958
773.0,0.959
772.5,0.961
772.0,0.962
771.5,0.963
771.0,0.964
770.5,0.965
770.0,0.966
769.5,0.968
769.0,0.969
768.5,0.970
768.0,0.972
767.5,0.973
767.0,0.974
766.5,0.975
766.0,0.977
765.5,0.978
765.0,0.979
764.5,0.980
764.0,0.982
763.5,0.983
763.0,0.985
762.5,0.986
762.0,0.988
761.5,0.989
761.0,0.990
760.5,0.991
760.0,0.993
759.5,0.994
759.0,0.996
758.5,0.997
758.0,0.998
757.5,1.000
757.0,1.001
756.5,1.003
756.0,1.004
755.5,1.005
755.0,1.007
754.5,1.008
754.0,1.010
753.5,1.011
753.0,1.013
752.5,1.014
752.0,1.015
751.5,1.017
751.0,1.018
750.5,1.020
750.0,1.021
749.5,1.023
749.0,1.024
748.5,1.026
748.0,1.027
747.5,1.029
747.0,1.030
746.5,1.032
746.0,1.033
745.5,1.035
745.0,1.037
744.5,1.038
744.0,1.040
743.5,1.042
743.0,1.043
742.5,1.045
742.0,1.047
741.5,1.048
741.0,1.050
740.5,1.052
740.0,1.054
739.5,1.056
739.0,1.058
738.5,1.059
738.0,1.061
737.5,1.063
737.0,1.064
736.5,1.066
736.0,1.068
735.5,1.070
735.0,1.072
734.5,1.074
734.0,1.076
733.5,1.078
733.0,1.079
732.5,1.081
732.0,1.083
731.5,1.085
731.0,1.087
730.5,1.089
730.0,1.091
729.5,1.093
729.0,1.095
728.5,1.097
728.0,1.100
727.5,1.102
727.0,1.104
726.5,1.106
726.0,1.109
725.5,1.111
725.0,1.114
724.5,1.116
724.0,1.119
723.5,1.122
723.0,1.124
722.5,1.127
722.0,1.130
721.5,1.133
721.0,1.136
720.5,1.139
720.0,1.142
719.5,1.145
719.0,1.148
718.5,1.152
718.0,1.155
717.5,1.159
717.0,1.162
716.5,1.166
716.0,1.169
715.5,1.173
715.0,1.177
714.5,1.181
714.0,1.185
713.5,1.189
713.0,1.193
712.5,1.197
712.0,1.202
711.5,1.206
711.0,1.211
710.5,1.215
710.0,1.220
709.5,1.225
709.0,1.230
708.5,1.236
708.0,1.242
707.5,1.247
707.0,1.253
706.5,1.259
706.0,1.265
705.5,1.271
705.0,1.278
704.5,1.284
704.0,1.290
703.5,1.297
703.0,1.304
702.5,1.311
702.0,1.318
701.5,1.325
701.0,1.333
700.5,1.341
700.0,1.349
699.5,1.357
699.0,1.365
698.5,1.374
698.0,1.383
697.5,1.393
697.0,1.402
696.5,1.411
696.0,1.421
695.5,1.431
695.0,1.441
694.5,1.452
694.0,1.463
693.5,1.474
693.0,1.485
692.5,1.497
692.0,1.509
691.5,1.521
691.0,1.534
690.5,1.547
690.0,1.561
689.5,1.575
689.0,1.589
688.5,1.604
688.0,1.619
687.5,1.634
687.0,1.650
686.5,1.666
686.0,1.684
685.5,1.701
685.0,1.719
684.5,1.737
684.0,1.755
683.5,1.773
683.0,1.792
682.5,1.812
682.0,1.832
681.5,1.852
681.0,1.873
680.5,1.895
680.0,1.917
679.5,1.939
679.0,1.962
678.5,1.985
678.0,2.010
677.5,2.034
677.0,2.058
676.5,2.082
676.0,2.107
675.5,2.132
675.0,2.157
674.5,2.182
674.0,2.209
673.5,2.235
673.0,2.263
672.5,2.290
672.0,2.318
671.5,2.347
671.0,2.377
670.5,2.406
670.0,2.435
669.5,2.463
669.0,2.491
668.5,2.520
668.0,2.547
667.5,2.575
667.0,2.601
