"PHT00S21.SPC"
WL/nm,Abs
900.0,0.761
899.5,0.762
899.0,0.762
898.5,0.763
898.0,0.764
897.5,0.765
897.0,0.765
896.5,0.766
896.0,0.767
895.5,0.767
895.0,0.768
894.5,0.768
894.0,0.769
893.5,0.770
893.0,0.770
892.5,0.771
892.0,0.771
891.5,0.772
891.0,0.772
890.5,0.773
890.0,0.773
889.5,0.774
889.0,0.774
888.5,0.775
888.0,0.776
887.5,0.777
887.0,0.778
886.5,0.779
886.0,0.780
885.5,0.781
885.0,0.782
884.5,0.783
884.0,0.784
883.5,0.785
883.0,0.786
882.5,0.787
882.0,0.788
881.5,0.789
881.0,0.789
880.5,0.790
880.0,0.791
879.5,0.792
879.0,0.793
878.5,0.794
878.0,0.795
877.5,0.796
877.0,0.796
876.5,0.797
876.0,0.798
875.5,0.798
875.0,0.799
874.5,0.799
874.0,0.800
873.5,0.800
873.0,0.801
872.5,0.801
872.0,0.802
871.5,0.802
871.0,0.802
870.5,0.803
870.0,0.803
869.5,0.803
869.0,0.804
868.5,0.804
868.0,0.805
867.5,0.805
867.0,0.806
866.5,0.806
866.0,0.807
865.5,0.807
865.0,0.808
864.5,0.808
864.0,0.809
863.5,0.809
863.0,0.810
862.5,0.811
862.0,0.811
861.5,0.812
861.0,0.813
860.5,0.813
860.0,0.814
859.5,0.814
859.0,0.815
858.5,0.816
858.0,0.817
857.5,0.817
857.0,0.818
856.5,0.818
856.0,0.819
855.5,0.820
855.0,0.821
854.5,0.821
854.0,0.822
853.5,0.822
853.0,0.823
852.5,0.824
852.0,0.825
851.5,0.826
851.0,0.826
850.5,0.827
850.0,0.828
849.5,0.828
849.0,0.829
848.5,0.830
848.0,0.831
847.5,0.831
847.0,0.832
846.5,0.833
846.0,0.834
845.5,0.834
845.0,0.835
844.5,0.836
844.0,0.837
843.5,0.837
843.0,0.838
842.5,0.839
842.0,0.840
841.5,0.840
841.0,0.841
840.5,0.842
840.0,0.843
839.5,0.844
839.0,0.844
838.5,0.845
838.0,0.846
837.5,0.847
837.0,0.847
836.5,0.848
836.0,0.849
835.5,0.850
835.0,0.850
834.5,0.851
834.0,0.852
833.5,0.853
833.0,0.853
832.5,0.854
832.0,0.854
831.5,0.855
831.0,0.856
830.5,0.856
830.0,0.857
829.5,0.858
829.0,0.858
828.5,0.859
828.0,0.860
827.5,0.860
827.0,0.861
826.5,0.862
826.0,0.863
825.5,0.863
825.0,0.864
824.5,0.865
824.0,0.865
823.5,0.866
823.0,0.867
822.5,0.868
822.0,0.869
821.5,0.870
821.0,0.870
820.5,0.871
820.0,0.872
819.5,0.873
819.0,0.874
818.5,0.875
818.0,0.876
817.5,0.877
817.0,0.877
816.5,0.878
816.0,0.879
815.5,0.880
815.0,0.881
814.5,0.882
814.0,0.883
813.5,0.884
813.0,0.885
812.5,0.886
812.0,0.887
811.5,0.888
811.0,0.889
810.5,0.890
810.0,0.891
809.5,0.892
809.0,0.893
808.5,0.894
808.0,0.895
807.5,0.896
807.0,0.897
806.5,0.899
806.0,0.900
805.5,0.901
805.0,0.901
804.5,0.902
804.0,0.903
803.5,0.904
803.0,0.905
802.5,0.906
802.0,0.907
801.5,0.909
801.0,0.910
800.5,0.910
800.0,0.912
799.5,0.913
799.0,0.914
798.5,0.915
798.0,0.916
797.5,0.917
797.0,0.918
796.5,0.919
796.0,0.920
795.5,0.921
795.0,0.922
794.5,0.923
794.0,0.924
793.5,0.926
793.0,0.927
792.5,0.928
792.0,0.929
791.5,0.930
791.0,0.932
790.5,0.932
