"PHT01S51.SPC"
WL/nm,Abs
900.0,2.165
899.5,2.165
899.0,2.166
898.5,2.167
898.0,2.168
897.5,2.170
897.0,2.171
896.5,2.171
896.0,2.172
895.5,2.173
895.0,2.174
894.5,2.175
894.0,2.176
893.5,2.177
893.0,2.178
892.5,2.178
892.0,2.179
891.5,2.180
891.0,2.181
890.5,2.182
890.0,2.182
889.5,2.183
889.0,2.184
888.5,2.185
888.0,2.186
887.5,2.187
887.0,2.188
886.5,2.189
886.0,2.191
885.5,2.192
885.0,2.193
884.5,2.194
884.0,2.195
883.5,2.197
883.0,2.198
882.5,2.198
882.0,2.200
881.5,2.201
881.0,2.202
880.5,2.203
880.0,2.205
879.5,2.206
879.0,2.207
878.5,2.208
878.0,2.209
877.5,2.210
877.0,2.210
876.5,2.211
876.0,2.212
875.5,2.213
875.0,2.213
874.5,2.214
874.0,2.215
873.5,2.215
873.0,2.216
872.5,2.216
872.0,2.216
871.5,2.217
871.0,2.217
870.5,2.218
870.0,2.218
869.5,2.218
869.0,2.218
868.5,2.219
868.0,2.219
867.5,2.220
867.0,2.220
866.5,2.221
866.0,2.221
865.5,2.221
865.0,2.222
864.5,2.223
864.0,2.223
863.5,2.224
863.0,2.224
862.5,2.225
862.0,2.225
861.5,2.226
861.0,2.227
860.5,2.228
860.0,2.228
859.5,2.230
859.0,2.230
858.5,2.231
858.0,2.232
857.5,2.233
857.0,2.233
856.5,2.234
856.0,2.234
855.5,2.235
855.0,2.236
854.5,2.237
854.0,2.238
853.5,2.238
853.0,2.239
852.5,2.240
852.0,2.241
851.5,2.242
851.0,2.243
850.5,2.244
850.0,2.245
849.5,2.246
849.0,2.247
848.5,2.247
848.0,2.248
847.5,2.249
847.0,2.250
846.5,2.251
846.0,2.252
845.5,2.253
845.0,2.254
844.5,2.255
844.0,2.256
843.5,2.257
843.0,2.258
842.5,2.259
842.0,2.260
841.5,2.261
841.0,2.262
840.5,2.263
840.0,2.264
839.5,2.265
839.0,2.266
838.5,2.267
838.0,2.268
837.5,2.269
837.0,2.270
836.5,2.271
836.0,2.272
835.5,2.273
835.0,2.274
