"PHT01S33.SPC"
WL/nm,Abs
900.0,0.879
899.5,0.879
899.0,0.880
898.5,0.881
898.0,0.881
897.5,0.882
897.0,0.883
896.5,0.884
896.0,0.885
895.5,0.886
895.0,0.886
894.5,0.887
894.0,0.888
893.5,0.889
893.0,0.890
892.5,0.890
892.0,0.891
891.5,0.891
891.0,0.892
890.5,0.893
890.0,0.893
889.5,0.894
889.0,0.895
888.5,0.896
888.0,0.897
887.5,0.898
887.0,0.899
886.5,0.900
886.0,0.901
885.5,0.903
885.0,0.904
884.5,0.905
884.0,0.906
883.5,0.907
883.0,0.908
882.5,0.910
882.0,0.911
881.5,0.912
881.0,0.913
880.5,0.914
880.0,0.915
879.5,0.916
879.0,0.917
878.5,0.919
878.0,0.919
877.5,0.920
877.0,0.921
876.5,0.922
876.0,0.923
875.5,0.924
875.0,0.924
874.5,0.925
874.0,0.926
873.5,0.927
873.0,0.927
872.5,0.928
872.0,0.928
871.5,0.929
871.0,0.929
870.5,0.930
870.0,0.931
869.5,0.931
869.0,0.932
868.5,0.932
868.0,0.933
867.5,0.934
867.0,0.934
866.5,0.935
866.0,0.936
865.5,0.936
865.0,0.937
864.5,0.938
864.0,0.939
863.5,0.939
863.0,0.940
862.5,0.941
862.0,0.942
861.5,0.942
861.0,0.943
860.5,0.944
860.0,0.945
859.5,0.946
859.0,0.947
858.5,0.948
858.0,0.949
857.5,0.950
857.0,0.950
856.5,0.951
856.0,0.952
855.5,0.953
855.0,0.954
854.5,0.955
854.0,0.955
853.5,0.956
853.0,0.957
852.5,0.958
852.0,0.959
851.5,0.960
851.0,0.961
850.5,0.962
850.0,0.963
849.5,0.964
849.0,0.965
848.5,0.966
848.0,0.966
847.5,0.967
847.0,0.968
846.5,0.969
846.0,0.970
845.5,0.971
845.0,0.972
844.5,0.973
844.0,0.974
843.5,0.975
843.0,0.976
842.5,0.977
842.0,0.978
841.5,0.979
841.0,0.980
840.5,0.981
840.0,0.982
839.5,0.983
839.0,0.984
838.5,0.985
838.0,0.986
837.5,0.987
837.0,0.988
836.5,0.989
836.0,0.990
835.5,0.991
835.0,0.992
834.5,0.993
834.0,0.994
833.5,0.995
833.0,0.996
832.5,0.996
832.0,0.997
831.5,0.998
831.0,0.999
830.5,1.000
830.0,1.001
829.5,1.002
829.0,1.003
828.5,1.003
828.0,1.004
827.5,1.005
827.0,1.006
826.5,1.007
826.0,1.008
825.5,1.009
825.0,1.010
824.5,1.011
824.0,1.012
823.5,1.013
823.0,1.014
822.5,1.015
822.0,1.016
821.5,1.017
821.0,1.018
820.5,1.019
820.0,1.020
819.5,1.021
819.0,1.023
818.5,1.024
818.0,1.025
817.5,1.026
817.0,1.027
816.5,1.028
816.0,1.029
815.5,1.031
815.0,1.032
814.5,1.033
814.0,1.034
813.5,1.036
813.0,1.037
812.5,1.038
812.0,1.039
811.5,1.040
811.0,1.042
810.5,1.043
810.0,1.044
809.5,1.046
809.0,1.047
808.5,1.048
808.0,1.049
807.5,1.051
807.0,1.052
806.5,1.053
806.0,1.054
805.5,1.056
805.0,1.057
804.5,1.058
804.0,1.059
803.5,1.060
803.0,1.062
802.5,1.063
802.0,1.064
801.5,1.066
801.0,1.067
800.5,1.068
800.0,1.070
799.5,1.071
799.0,1.073
798.5,1.074
798.0,1.075
797.5,1.077
797.0,1.078
796.5,1.079
796.0,1.081
795.5,1.082
795.0,1.083
794.5,1.084
794.0,1.086
793.5,1.087
793.0,1.089
792.5,1.090
792.0,1.092
791.5,1.093
791.0,1.094
790.5,1.096
790.0,1.097
789.5,1.099
789.0,1.100
788.5,1.101
788.0,1.103
787.5,1.104
787.0,1.106
786.5,1.107
786.0,1.109
785.5,1.110
785.0,1.111
784.5,1.113
784.0,1.114
783.5,1.116
783.0,1.117
782.5,1.118
782.0,1.120
781.5,1.122
781.0,1.123
780.5,1.125
780.0,1.126
779.5,1.128
779.0,1.129
778.5,1.130
778.0,1.132
777.5,1.134
777.0,1.135
776.5,1.137
776.0,1.138
775.5,1.139
775.0,1.141
774.5,1.142
774.0,1.144
773.5,1.145
773.0,1.147
772.5,1.149
772.0,1.150
771.5,1.152
771.0,1.153
770.5,1.155
770.0,1.156
769.5,1.158
769.0,1.159
768.5,1.161
768.0,1.163
767.5,1.165
767.0,1.166
766.5,1.168
766.0,1.169
765.5,1.171
765.0,1.173
764.5,1.174
764.0,1.176
763.5,1.178
763.0,1.179
762.5,1.181
762.0,1.183
761.5,1.185
761.0,1.187
760.5,1.188
760.0,1.190
