"PHT03S23.SPC"
WL/nm,Abs
900.0,0.723
899.5,0.724
899.0,0.724
898.5,0.725
898.0,0.726
897.5,0.726
897.0,0.727
896.5,0.728
896.0,0.728
895.5,0.729
895.0,0.729
894.5,0.730
894.0,0.731
893.5,0.732
893.0,0.733
892.5,0.733
892.0,0.734
891.5,0.734
891.0,0.735
890.5,0.735
890.0,0.736
889.5,0.737
889.0,0.737
888.5,0.738
888.0,0.739
887.5,0.740
887.0,0.741
886.5,0.742
886.0,0.743
885.5,0.744
885.0,0.745
884.5,0.746
884.0,0.748
883.5,0.748
883.0,0.749
882.5,0.751
882.0,0.752
881.5,0.753
881.0,0.754
880.5,0.755
880.0,0.756
879.5,0.757
879.0,0.758
878.5,0.759
878.0,0.760
877.5,0.761
877.0,0.762
876.5,0.763
876.0,0.764
875.5,0.765
875.0,0.765
874.5,0.766
874.0,0.767
873.5,0.767
873.0,0.768
872.5,0.768
872.0,0.769
871.5,0.769
871.0,0.770
870.5,0.771
870.0,0.771
869.5,0.771
869.0,0.772
868.5,0.772
868.0,0.773
867.5,0.774
867.0,0.774
866.5,0.775
866.0,0.775
865.5,0.776
865.0,0.777
864.5,0.777
864.0,0.778
863.5,0.779
863.0,0.780
862.5,0.780
862.0,0.781
861.5,0.782
861.0,0.783
860.5,0.784
860.0,0.784
859.5,0.785
859.0,0.786
858.5,0.787
858.0,0.788
857.5,0.789
857.0,0.789
856.5,0.790
856.0,0.791
855.5,0.792
855.0,0.793
854.5,0.794
854.0,0.794
853.5,0.795
853.0,0.796
852.5,0.797
852.0,0.798
851.5,0.798
851.0,0.799
850.5,0.800
850.0,0.801
849.5,0.802
849.0,0.803
848.5,0.804
848.0,0.805
847.5,0.806
847.0,0.807
846.5,0.808
846.0,0.809
845.5,0.810
845.0,0.811
844.5,0.811
844.0,0.812
843.5,0.813
843.0,0.814
842.5,0.815
842.0,0.816
841.5,0.817
841.0,0.818
840.5,0.819
840.0,0.820
839.5,0.821
839.0,0.822
838.5,0.822
838.0,0.823
837.5,0.824
837.0,0.825
836.5,0.826
836.0,0.827
835.5,0.827
835.0,0.828
834.5,0.829
834.0,0.830
833.5,0.831
833.0,0.832
832.5,0.832
832.0,0.833
831.5,0.834
831.0,0.835
830.5,0.836
830.0,0.836
829.5,0.837
829.0,0.838
828.5,0.839
828.0,0.840
827.5,0.840
827.0,0.841
826.5,0.842
826.0,0.843
825.5,0.844
825.0,0.845
824.5,0.845
824.0,0.846
823.5,0.848
823.0,0.848
822.5,0.849
822.0,0.850
821.5,0.851
821.0,0.852
820.5,0.853
820.0,0.854
819.5,0.855
819.0,0.856
818.5,0.857
818.0,0.858
817.5,0.859
817.0,0.860
816.5,0.862
816.0,0.863
815.5,0.864
815.0,0.865
814.5,0.866
814.0,0.867
813.5,0.868
813.0,0.869
812.5,0.870
812.0,0.871
811.5,0.872
811.0,0.873
810.5,0.875
810.0,0.876
809.5,0.877
809.0,0.878
808.5,0.879
808.0,0.880
807.5,0.882
807.0,0.883
806.5,0.884
806.0,0.885
805.5,0.886
805.0,0.887
804.5,0.889
804.0,0.890
803.5,0.891
803.0,0.892
802.5,0.893
802.0,0.894
801.5,0.896
801.0,0.897
800.5,0.898
800.0,0.899
799.5,0.900
799.0,0.902
798.5,0.903
798.0,0.904
797.5,0.905
797.0,0.906
796.5,0.908
796.0,0.909
795.5,0.910
795.0,0.912
794.5,0.913
794.0,0.914
793.5,0.915
793.0,0.917
792.5,0.918
792.0,0.920
791.5,0.921
791.0,0.922
790.5,0.924
790.0,0.925
789.5,0.926
789.0,0.928
788.5,0.929
788.0,0.930
787.5,0.932
787.0,0.933
786.5,0.934
786.0,0.936
785.5,0.938
785.0,0.939
784.5,0.940
784.0,0.942
783.5,0.943
783.0,0.944
782.5,0.946
782.0,0.947
781.5,0.949
781.0,0.950
780.5,0.951
780.0,0.953
779.5,0.954
779.0,0.956
778.5,0.957
778.0,0.958
777.5,0.960
777.0,0.961
776.5,0.963
776.0,0.964
775.5,0.965
775.0,0.967
774.5,0.968
774.0,0.970
773.5,0.971
773.0,0.973
772.5,0.974
772.0,0.976
771.5,0.977
771.0,0.979
770.5,0.980
770.0,0.982
769.5,0.983
769.0,0.984
768.5,0.986
768.0,0.987
767.5,0.989
767.0,0.990
766.5,0.992
766.0,0.993
765.5,0.995
765.0,0.997
764.5,0.998
764.0,1.000
763.5,1.002
763.0,1.003
762.5,1.005
762.0,1.007
761.5,1.008
761.0,1.010
760.5,1.011
760.0,1.013
759.5,1.014
759.0,1.016
758.5,1.018
758.0,1.020
757.5,1.021
757.0,1.023
756.5,1.024
756.0,1.026
755.5,1.027
755.0,1.029
754.5,1.031
754.0,1.033
753.5,1.034
753.0,1.036
752.5,1.038
752.0,1.040
751.5,1.042
751.0,1.043
750.5,1.045
750.0,1.047
749.5,1.049
749.0,1.051
748.5,1.053
748.0,1.054
747.5,1.056
747.0,1.058
746.5,1.060
746.0,1.062
745.5,1.064
745.0,1.066
744.5,1.068
744.0,1.070
743.5,1.072
743.0,1.074
742.5,1.076
742.0,1.078
741.5,1.080
741.0,1.082
740.5,1.084
740.0,1.086
739.5,1.088
739.0,1.090
738.5,1.093
738.0,1.095
737.5,1.097
737.0,1.099
736.5,1.101
736.0,1.104
735.5,1.106
735.0,1.108
734.5,1.110
734.0,1.112
733.5,1.114
733.0,1.117
732.5,1.119
732.0,1.122
731.5,1.124
731.0,1.127
