"PHT03S21.SPC"
WL/nm,Abs
900.0,0.714
899.5,0.715
899.0,0.716
898.5,0.716
898.0,0.717
897.5,0.717
897.0,0.718
896.5,0.719
896.0,0.720
895.5,0.720
895.0,0.721
894.5,0.722
894.0,0.722
893.5,0.723
893.0,0.724
892.5,0.725
892.0,0.725
891.5,0.725
891.0,0.726
890.5,0.726
890.0,0.727
889.5,0.728
889.0,0.729
888.5,0.729
888.0,0.730
887.5,0.731
887.0,0.732
886.5,0.733
886.0,0.734
885.5,0.735
885.0,0.736
884.5,0.737
884.0,0.738
883.5,0.739
883.0,0.740
882.5,0.741
882.0,0.742
881.5,0.744
881.0,0.745
880.5,0.746
880.0,0.747
879.5,0.748
879.0,0.749
878.5,0.750
878.0,0.751
877.5,0.752
877.0,0.753
876.5,0.754
876.0,0.754
875.5,0.755
875.0,0.756
874.5,0.757
874.0,0.757
873.5,0.758
873.0,0.759
872.5,0.759
872.0,0.760
871.5,0.760
871.0,0.760
870.5,0.761
870.0,0.761
869.5,0.762
869.0,0.762
868.5,0.763
868.0,0.763
867.5,0.764
867.0,0.765
866.5,0.765
866.0,0.766
865.5,0.767
865.0,0.767
864.5,0.768
864.0,0.768
863.5,0.769
863.0,0.770
862.5,0.771
862.0,0.771
861.5,0.772
861.0,0.773
860.5,0.774
860.0,0.775
859.5,0.775
859.0,0.776
858.5,0.777
858.0,0.778
857.5,0.779
857.0,0.779
856.5,0.780
856.0,0.781
855.5,0.782
855.0,0.783
854.5,0.784
854.0,0.784
853.5,0.785
853.0,0.786
852.5,0.787
852.0,0.788
851.5,0.789
851.0,0.789
850.5,0.790
850.0,0.791
849.5,0.792
849.0,0.793
848.5,0.794
848.0,0.795
847.5,0.796
847.0,0.797
846.5,0.798
846.0,0.798
845.5,0.799
845.0,0.800
844.5,0.801
844.0,0.802
843.5,0.803
843.0,0.804
842.5,0.805
842.0,0.806
841.5,0.807
841.0,0.808
840.5,0.808
840.0,0.809
839.5,0.810
839.0,0.811
838.5,0.812
838.0,0.813
837.5,0.814
837.0,0.815
836.5,0.816
836.0,0.817
835.5,0.817
835.0,0.818
834.5,0.819
834.0,0.820
833.5,0.820
833.0,0.821
832.5,0.822
832.0,0.823
831.5,0.824
831.0,0.825
830.5,0.825
830.0,0.826
829.5,0.827
829.0,0.828
828.5,0.829
828.0,0.829
827.5,0.830
827.0,0.831
826.5,0.832
826.0,0.832
825.5,0.833
825.0,0.834
824.5,0.835
824.0,0.836
823.5,0.837
823.0,0.838
822.5,0.839
822.0,0.840
821.5,0.841
821.0,0.842
820.5,0.843
820.0,0.844
819.5,0.845
819.0,0.846
818.5,0.846
818.0,0.848
817.5,0.849
817.0,0.850
816.5,0.851
816.0,0.852
815.5,0.853
815.0,0.854
814.5,0.855
814.0,0.856
813.5,0.857
813.0,0.858
812.5,0.859
812.0,0.860
811.5,0.862
811.0,0.863
810.5,0.864
810.0,0.865
809.5,0.866
809.0,0.867
808.5,0.868
808.0,0.870
807.5,0.871
807.0,0.872
806.5,0.873
806.0,0.874
805.5,0.875
805.0,0.877
804.5,0.878
804.0,0.879
803.5,0.880
803.0,0.881
802.5,0.882
802.0,0.884
801.5,0.885
801.0,0.886
800.5,0.887
800.0,0.888
799.5,0.890
799.0,0.891
798.5,0.892
798.0,0.893
797.5,0.895
797.0,0.896
796.5,0.897
796.0,0.898
795.5,0.900
795.0,0.901
794.5,0.902
794.0,0.904
793.5,0.905
793.0,0.906
792.5,0.908
792.0,0.909
791.5,0.910
791.0,0.911
790.5,0.913
790.0,0.914
789.5,0.915
789.0,0.917
788.5,0.918
788.0,0.919
787.5,0.921
787.0,0.922
786.5,0.924
786.0,0.925
785.5,0.927
785.0,0.928
784.5,0.929
784.0,0.931
783.5,0.932
783.0,0.934
782.5,0.935
782.0,0.936
781.5,0.938
781.0,0.939
780.5,0.941
780.0,0.942
779.5,0.943
779.0,0.945
778.5,0.946
778.0,0.947
777.5,0.949
777.0,0.950
776.5,0.952
776.0,0.953
775.5,0.955
775.0,0.956
774.5,0.958
774.0,0.959
773.5,0.961
773.0,0.962
772.5,0.963
772.0,0.965
771.5,0.966
771.0,0.968
770.5,0.969
770.0,0.971
769.5,0.972
769.0,0.974
768.5,0.975
768.0,0.976
767.5,0.978
767.0,0.980
766.5,0.981
766.0,0.983
765.5,0.984
765.0,0.986
764.5,0.988
764.0,0.989
763.5,0.991
763.0,0.993
762.5,0.994
762.0,0.996
761.5,0.997
761.0,0.999
760.5,1.000
760.0,1.002
759.5,1.004
759.0,1.006
758.5,1.007
758.0,1.009
757.5,1.011
757.0,1.012
756.5,1.014
756.0,1.015
755.5,1.017
