"PHT10S11.SPC"
WL/nm,Abs
900.0,-0.137
899.5,-0.137
899.0,-0.137
898.5,-0.137
898.0,-0.137
897.5,-0.137
897.0,-0.137
896.5,-0.137
896.0,-0.137
895.5,-0.137
895.0,-0.137
894.5,-0.138
894.0,-0.138
893.5,-0.138
893.0,-0.138
892.5,-0.138
892.0,-0.138
891.5,-0.139
891.0,-0.139
890.5,-0.139
890.0,-0.140
889.5,-0.140
889.0,-0.140
888.5,-0.140
888.0,-0.140
887.5,-0.140
887.0,-0.139
886.5,-0.139
886.0,-0.139
885.5,-0.138
885.0,-0.138
884.5,-0.138
884.0,-0.137
883.5,-0.137
883.0,-0.137
882.5,-0.137
882.0,-0.136
881.5,-0.136
881.0,-0.136
880.5,-0.136
880.0,-0.136
879.5,-0.136
879.0,-0.135
878.5,-0.135
878.0,-0.135
877.5,-0.135
877.0,-0.135
876.5,-0.135
876.0,-0.135
875.5,-0.136
875.0,-0.136
874.5,-0.136
874.0,-0.136
873.5,-0.136
873.0,-0.137
872.5,-0.137
872.0,-0.138
871.5,-0.138
871.0,-0.138
870.5,-0.139
870.0,-0.139
869.5,-0.139
869.0,-0.140
868.5,-0.140
868.0,-0.140
867.5,-0.141
867.0,-0.141
866.5,-0.141
866.0,-0.141
865.5,-0.142
865.0,-0.142
864.5,-0.142
864.0,-0.142
863.5,-0.143
863.0,-0.143
862.5,-0.143
862.0,-0.143
861.5,-0.143
861.0,-0.143
860.5,-0.144
860.0,-0.144
859.5,-0.144
859.0,-0.144
858.5,-0.144
858.0,-0.144
857.5,-0.144
857.0,-0.144
856.5,-0.145
856.0,-0.145
855.5,-0.145
855.0,-0.145
854.5,-0.145
854.0,-0.145
853.5,-0.145
853.0,-0.145
852.5,-0.145
852.0,-0.145
851.5,-0.145
851.0,-0.145
850.5,-0.145
850.0,-0.145
849.5,-0.145
849.0,-0.145
848.5,-0.145
848.0,-0.146
847.5,-0.146
847.0,-0.146
846.5,-0.146
846.0,-0.146
845.5,-0.146
845.0,-0.146
844.5,-0.146
844.0,-0.146
843.5,-0.146
843.0,-0.146
842.5,-0.146
842.0,-0.146
841.5,-0.146
841.0,-0.146
840.5,-0.146
840.0,-0.146
839.5,-0.146
839.0,-0.146
838.5,-0.146
838.0,-0.146
837.5,-0.147
837.0,-0.147
836.5,-0.147
836.0,-0.147
835.5,-0.147
835.0,-0.147
834.5,-0.147
834.0,-0.147
833.5,-0.147
833.0,-0.147
832.5,-0.148
832.0,-0.148
831.5,-0.148
831.0,-0.148
830.5,-0.148
830.0,-0.149
829.5,-0.149
829.0,-0.149
828.5,-0.149
828.0,-0.149
827.5,-0.150
827.0,-0.150
826.5,-0.150
826.0,-0.150
825.5,-0.151
825.0,-0.151
824.5,-0.151
824.0,-0.151
823.5,-0.151
823.0,-0.151
822.5,-0.151
822.0,-0.152
821.5,-0.152
821.0,-0.152
820.5,-0.152
820.0,-0.152
819.5,-0.152
819.0,-0.152
818.5,-0.152
818.0,-0.152
817.5,-0.152
817.0,-0.152
816.5,-0.152
816.0,-0.152
815.5,-0.152
815.0,-0.152
814.5,-0.152
814.0,-0.152
813.5,-0.152
813.0,-0.152
812.5,-0.152
812.0,-0.152
811.5,-0.152
811.0,-0.152
810.5,-0.152
810.0,-0.152
809.5,-0.152
809.0,-0.152
808.5,-0.152
808.0,-0.152
807.5,-0.152
807.0,-0.152
806.5,-0.151
806.0,-0.151
805.5,-0.151
805.0,-0.151
804.5,-0.151
804.0,-0.151
