"PHT02S53.SPC"
WL/nm,Abs
900.0,2.179
899.5,2.180
899.0,2.181
898.5,2.182
898.0,2.183
897.5,2.184
897.0,2.185
896.5,2.186
896.0,2.187
895.5,2.188
895.0,2.189
894.5,2.190
894.0,2.191
893.5,2.192
893.0,2.193
892.5,2.194
892.0,2.195
891.5,2.196
891.0,2.197
890.5,2.197
890.0,2.198
889.5,2.199
889.0,2.200
888.5,2.201
888.0,2.203
887.5,2.204
887.0,2.205
886.5,2.207
886.0,2.209
885.5,2.210
885.0,2.212
884.5,2.213
884.0,2.214
883.5,2.216
883.0,2.217
882.5,2.219
882.0,2.220
881.5,2.221
881.0,2.223
880.5,2.224
880.0,2.226
879.5,2.227
879.0,2.228
878.5,2.230
878.0,2.231
877.5,2.232
877.0,2.233
876.5,2.234
876.0,2.235
875.5,2.236
875.0,2.237
874.5,2.238
874.0,2.239
873.5,2.240
873.0,2.240
872.5,2.241
872.0,2.242
871.5,2.243
871.0,2.243
870.5,2.244
870.0,2.244
869.5,2.245
869.0,2.246
868.5,2.247
868.0,2.247
867.5,2.248
867.0,2.249
866.5,2.249
866.0,2.250
865.5,2.251
865.0,2.252
864.5,2.253
864.0,2.254
863.5,2.254
863.0,2.255
862.5,2.256
862.0,2.257
861.5,2.258
861.0,2.259
860.5,2.260
860.0,2.261
859.5,2.262
859.0,2.263
858.5,2.264
858.0,2.265
857.5,2.266
857.0,2.267
856.5,2.268
856.0,2.269
855.5,2.270
855.0,2.271
854.5,2.272
854.0,2.273
853.5,2.273
853.0,2.275
852.5,2.276
852.0,2.277
851.5,2.278
851.0,2.279
850.5,2.280
850.0,2.281
849.5,2.282
849.0,2.283
848.5,2.284
848.0,2.285
847.5,2.286
847.0,2.286
846.5,2.287
846.0,2.289
845.5,2.290
845.0,2.291
844.5,2.292
844.0,2.293
843.5,2.294
843.0,2.295
842.5,2.296
842.0,2.297
841.5,2.299
841.0,2.300
840.5,2.301
840.0,2.302
839.5,2.303
839.0,2.304
838.5,2.305
838.0,2.306
837.5,2.307
837.0,2.308
836.5,2.309
836.0,2.310
835.5,2.311
835.0,2.312
834.5,2.313
834.0,2.314
833.5,2.315
833.0,2.316
832.5,2.317
832.0,2.318
831.5,2.319
831.0,2.320
830.5,2.321
830.0,2.322
829.5,2.322
829.0,2.323
828.5,2.324
828.0,2.325
827.5,2.326
827.0,2.327
826.5,2.328
826.0,2.329
825.5,2.330
825.0,2.331
824.5,2.332
824.0,2.333
823.5,2.334
823.0,2.335
822.5,2.336
822.0,2.337
821.5,2.338
821.0,2.339
820.5,2.341
820.0,2.342
819.5,2.343
819.0,2.344
818.5,2.345
818.0,2.346
817.5,2.347
817.0,2.348
816.5,2.349
816.0,2.350
815.5,2.351
815.0,2.353
814.5,2.354
814.0,2.355
813.5,2.356
813.0,2.358
812.5,2.359
812.0,2.360
811.5,2.361
811.0,2.362
810.5,2.364
810.0,2.365
809.5,2.366
809.0,2.367
808.5,2.369
808.0,2.370
807.5,2.371
807.0,2.372
806.5,2.373
806.0,2.375
805.5,2.376
805.0,2.377
804.5,2.378
804.0,2.379
803.5,2.380
803.0,2.382
802.5,2.383
802.0,2.384
801.5,2.385
801.0,2.386
800.5,2.388
800.0,2.389
799.5,2.390
799.0,2.391
798.5,2.393
798.0,2.394
797.5,2.395
797.0,2.397
796.5,2.398
796.0,2.399
795.5,2.400
795.0,2.401
794.5,2.402
794.0,2.404
793.5,2.405
793.0,2.407
792.5,2.408
792.0,2.409
791.5,2.410
791.0,2.412
790.5,2.413
790.0,2.414
789.5,2.415
789.0,2.417
788.5,2.418
788.0,2.419
787.5,2.421
787.0,2.422
786.5,2.423
786.0,2.425
785.5,2.426
785.0,2.427
784.5,2.428
784.0,2.429
783.5,2.431
783.0,2.432
782.5,2.434
782.0,2.435
781.5,2.436
781.0,2.438
780.5,2.439
780.0,2.440
779.5,2.442
779.0,2.443
778.5,2.444
778.0,2.446
777.5,2.447
777.0,2.448
776.5,2.450
776.0,2.451
775.5,2.452
775.0,2.454
774.5,2.455
774.0,2.457
773.5,2.458
773.0,2.459
772.5,2.461
772.0,2.462
771.5,2.464
771.0,2.465
770.5,2.466
770.0,2.468
769.5,2.469
769.0,2.470
768.5,2.472
768.0,2.474
767.5,2.475
767.0,2.477
766.5,2.478
766.0,2.480
765.5,2.481
765.0,2.483
764.5,2.484
764.0,2.486
763.5,2.487
763.0,2.489
762.5,2.490
762.0,2.492
761.5,2.494
761.0,2.496
760.5,2.496
760.0,2.496
759.5,2.497
759.0,2.498
758.5,2.500
758.0,2.501
757.5,2.503
757.0,2.504
756.5,2.506
